market_id,horizon,question,slug,total_n_obs,early_n_obs,early_obs_share,total_time_seconds,early_time_seconds,early_time_share,early_first_probability,early_last_probability,early_mean_probability,early_std_probability,early_probability_range,early_realized_volatility,early_trend,early_distance_to_boundary,early_mean_distance_to_boundary,early_min_distance_to_boundary,early_near_boundary,outcome,final_probability,bayesian_fair_probability,mispricing,abs_mispricing,abs_surprise,cluster,market_regime,early_max_drawdown,early_reversals,early_entropy,target
253363,0.5,Will the Fed raise interest rates by 25 bps after its January meeting?,will-the-fed-raise-interest-rates-by-25-bps-after-its-january-meeting,1272,636,0.5,4579200.0,2286001.0,0.4992140548567435,0.5,0.0155,0.06560220125786165,0.09220439770302041,0.5025000000000001,0.026064651489692274,-0.00030709745928244556,0.0155,0.06550786163522013,0.0075,1,0,0.002,0.0384615384615384,0.0364615384615384,0.0364615384615384,0.002,0,Information Processing,0.9852941176470589,9,0.6474466390346325,1
253363,0.75,Will the Fed raise interest rates by 25 bps after its January meeting?,will-the-fed-raise-interest-rates-by-25-bps-after-its-january-meeting,1272,954,0.75,4579200.0,3434400.0,0.75,0.5,0.005,0.08320125786163521,0.12838860605290625,0.505,0.03170467370827935,-2.6874328584572776e-05,0.005,0.08313836477987421,0.005,1,0,0.002,0.0384615384615384,0.0364615384615384,0.0364615384615384,0.002,0,Information Processing,0.9901960784313726,17,0.6365141682948128,1
253364,0.25,Will the Fed decrease interest rates by 25 bps after its January meeting?,will-the-fed-decrease-interest-rates-by-25-bps-after-its-january-meeting,1272,318,0.25,4579200.0,1141201.0,0.24921405485674353,0.5,0.017,0.06790094339622643,0.09478191187825065,0.493,0.03657645765955931,-0.0004522324671299793,0.017,0.0675864779874214,0.017,1,0,0.0075,0.0384615384615384,0.0309615384615384,0.0309615384615384,0.0075,0,Information Processing,0.9666666666666667,7,0.605797499372304,1
253364,0.5,Will the Fed decrease interest rates by 25 bps after its January meeting?,will-the-fed-decrease-interest-rates-by-25-bps-after-its-january-meeting,1272,636,0.5,4579200.0,2286001.0,0.4992140548567435,0.5,0.0375,0.04416037735849058,0.07127251285728065,0.493,0.02586067041040046,-0.0001617522617883422,0.0375,0.04400314465408806,0.017,1,0,0.0075,0.0384615384615384,0.0309615384615384,0.0309615384615384,0.0075,0,Information Processing,0.9666666666666667,15,0.666278442414676,1
253364,0.75,Will the Fed decrease interest rates by 25 bps after its January meeting?,will-the-fed-decrease-interest-rates-by-25-bps-after-its-january-meeting,1272,954,0.75,4579200.0,3434400.0,0.75,0.5,0.0255,0.050478511530398326,0.08281215427446967,0.493,0.029455840324196264,-2.5533033578554255e-05,0.0255,0.05037368972746331,0.017,1,0,0.0075,0.0384615384615384,0.0309615384615384,0.0309615384615384,0.0075,0,Information Processing,0.9666666666666667,34,0.6816244336247836,1
253383,0.25,US inflation >0% from Oct to Nov 2023?,us-inflation-0-from-oct-to-nov-2023,4,2,0.5,10799.0,3599.0,0.3332715992221502,0.53,0.57,0.55,0.02828427124746185,0.039999999999999925,0.0,0.039999999999999925,0.43000000000000005,0.45,0.43000000000000005,0,1,0.565,0.6,0.035,0.035,0.435,1,Anchored / Noisy,0.0,0,-0.0,0
253383,0.5,US inflation >0% from Oct to Nov 2023?,us-inflation-0-from-oct-to-nov-2023,4,2,0.5,10799.0,3599.0,0.3332715992221502,0.53,0.57,0.55,0.02828427124746185,0.039999999999999925,0.0,0.039999999999999925,0.43000000000000005,0.45,0.43000000000000005,0,1,0.565,0.6,0.035,0.035,0.435,1,Anchored / Noisy,0.0,0,-0.0,0
253383,0.75,US inflation >0% from Oct to Nov 2023?,us-inflation-0-from-oct-to-nov-2023,4,3,0.75,10799.0,7199.0,0.6666357996110751,0.53,0.57,0.5566666666666666,0.023094010767584987,0.039999999999999925,0.02828427124746185,0.019999999999999962,0.43000000000000005,0.44333333333333336,0.43000000000000005,0,1,0.565,0.6,0.035,0.035,0.435,1,Anchored / Noisy,0.0,0,-0.0,0
253384,0.25,Elizabeth Warren crypto bill become law by June?,elizabeth-warren-crypto-bill-become-law-by-june,4825,1207,0.25015544041450777,17373601.0,4345200.0,0.2501035910747576,0.085,0.25,0.2029287489643745,0.07353923982951054,0.47000000000000003,0.019465949105643778,9.962713386763436e-05,0.25,0.20286246893123447,0.05,0,0,0.235,0.5,0.265,0.265,0.235,0,Information Processing,0.7019230769230769,4,0.6869615765973234,1
253384,0.5,Elizabeth Warren crypto bill become law by June?,elizabeth-warren-crypto-bill-become-law-by-june,4825,2413,0.5001036269430051,17373601.0,8686800.0,0.49999997122070433,0.085,0.25,0.19579569001243266,0.07382291424743044,0.47000000000000003,0.01442688789852367,2.0396245206256395e-05,0.25,0.19576253626191462,0.05,0,0,0.235,0.5,0.265,0.265,0.235,0,Information Processing,0.8076923076923077,7,0.6901856760188042,1
